Tanggal,Bawah I,Bawah II,Medium I,Medium II,Super I,Super II
25/08/2021,9800,10200,11150,11450,12300,12450
26/08/2021,9800,10200,11150,11450,12300,12450
27/08/2021,9800,10200,11150,11450,12300,12450
30/08/2021,9800,10250,11150,11450,12350,12400
31/08/2021,9750,10200,11150,11450,12300,12300
01/09/2021,9750,10200,11150,11450,12300,12300
02/09/2021,9750,10200,11150,11400,12250,12300
03/09/2021,9750,10200,11150,11400,12250,12300
06/09/2021,9750,10200,11150,11400,12250,12300
07/09/2021,9750,10200,11150,11400,12250,12300
08/09/2021,9800,10150,11150,11350,12150,12200
09/09/2021,9800,10150,11150,11350,12150,12200
10/09/2021,9800,10150,11150,11350,12150,12200
13/09/2021,9800,10200,11150,11350,12150,12150
14/09/2021,9800,10200,11150,11350,12150,12150
15/09/2021,9800,10200,11150,11350,12150,12150
16/09/2021,9800,10200,11150,11350,12150,12150
17/09/2021,9800,10200,11150,11350,12150,12150
20/09/2021,9800,10200,11150,11350,12150,12150
21/09/2021,9800,10200,11150,11350,12150,12150
22/09/2021,9800,10200,11150,11350,12150,12150
23/09/2021,9800,10200,11150,11350,12150,12150
24/09/2021,9800,10200,11150,11350,12150,12150
27/09/2021,9800,10200,11150,11350,12150,12150
28/09/2021,9750,10200,11150,11350,12100,12100
29/09/2021,9750,10200,11150,11350,12100,12100
30/09/2021,9750,10200,11150,11350,12100,12100
01/10/2021,9750,10200,11150,11350,12100,12100
04/10/2021,9750,10200,11150,11350,12100,12100
05/10/2021,9750,10200,11150,11350,12100,12100
06/10/2021,9750,10200,11150,11350,12100,12100
07/10/2021,9750,10200,11150,11350,12100,12100
08/10/2021,9750,10200,11150,11350,12100,12100
11/10/2021,9750,10200,11150,11350,12100,12100
12/10/2021,9750,10200,11150,11350,12100,12100
13/10/2021,9750,10200,11150,11350,12100,12100
14/10/2021,9750,10200,11150,11350,12100,12100
15/10/2021,9750,10200,11150,11350,12100,12100
18/10/2021,9750,10200,11150,11350,12100,12100
19/10/2021,9750,10200,11150,11350,12100,12100
21/10/2021,9750,10200,11150,11350,12100,12100
22/10/2021,9750,10200,11150,11350,12100,12100
25/10/2021,9700,10100,11100,11300,12100,12050
26/10/2021,9700,10100,11100,11300,12100,12050
27/10/2021,9700,10100,11100,11300,12100,12050
28/10/2021,9700,10100,11100,11300,12100,12050
29/10/2021,9650,10050,11050,11250,12050,12050
01/11/2021,9650,10050,11050,11300,12050,12050
02/11/2021,9650,10050,11050,11300,12050,12050
