Tahun,Tanggal,Beras Kualitas Bawah I,Beras Kualitas Bawah II,Beras Kualitas Medium I,Beras Kualitas Medium II,Beras Kualitas Super I,Beras Kualitas Super II
2021,5/5/2021,9650,10200,11200,11400,12350,12500
2021,5/6/2021,9650,10200,11200,11400,12350,12500
2021,5/7/2021,9650,10200,11200,11400,12350,12500
2021,5/10/2021,9650,10200,11200,11400,12350,12500
2021,5/11/2021,9650,10200,11200,11400,12350,12500
2021,5/17/2021,9650,10200,11200,11400,12350,12500
2021,5/18/2021,9650,10200,11200,11400,12350,12500
2021,5/19/2021,9650,10200,11200,11400,12350,12500
2021,5/20/2021,9650,10200,11200,11400,12350,12500
2021,5/21/2021,9650,10200,11200,11400,12350,12500
2021,5/24/2021,9650,10200,11200,11400,12350,12500
2021,5/25/2021,9650,10200,11200,11400,12350,12500
2021,5/27/2021,9650,10200,11200,11400,12350,12500
2021,5/28/2021,9650,10200,11200,11400,12350,12500
2021,5/31/2021,9650,10150,11100,11400,12350,12500
2021,6/2/2021,9650,10150,11100,11400,12350,12500
2021,6/3/2021,9650,10150,11100,11400,12350,12500
2021,6/4/2021,9650,10150,11100,11400,12350,12500
2021,6/7/2021,9650,10150,11100,11400,12350,12500
2021,6/8/2021,9650,10150,11100,11400,12350,12500
2021,6/9/2021,9650,10150,11100,11400,12350,12500
2021,6/10/2021,9650,10150,11100,11400,12350,12500
2021,6/11/2021,9650,10150,11100,11400,12350,12500
2021,6/14/2021,9650,10150,11100,11400,12350,12500
2021,6/15/2021,9650,10150,11100,11400,12350,12500
2021,6/16/2021,9650,10150,11100,11400,12350,12500
2021,6/17/2021,9650,10150,11100,11400,12350,12500
2021,6/18/2021,9650,10150,11100,11400,12350,12500
2021,6/21/2021,9650,10150,11100,11400,12350,12500
2021,6/22/2021,9650,10150,11100,11400,12350,12450
2021,6/23/2021,9650,10150,11100,11400,12350,12450
2021,6/24/2021,9650,10150,11100,11400,12350,12450
2021,6/25/2021,9650,10150,11100,11400,12350,12450
2021,6/28/2021,9650,10150,11100,11400,12350,12450
2021,6/29/2021,9650,10150,11100,11400,12300,12400
2021,6/30/2021,9650,10100,11100,11400,12300,12400
2021,7/1/2021,9650,10100,11100,11350,12300,12400
2021,7/2/2021,9650,10100,11100,11350,12300,12400
2021,7/5/2021,9650,10100,11100,11350,12300,12400
2021,7/6/2021,9650,10100,11100,11350,12300,12400
2021,7/7/2021,9700,10150,11100,11350,12250,12450
2021,7/8/2021,9700,10150,11100,11350,12250,12450
2021,7/9/2021,9700,10150,11100,11350,12250,12450
2021,7/12/2021,9700,10150,11100,11350,12250,12450
2021,7/13/2021,9700,10150,11100,11400,12300,12450
2021,7/14/2021,9700,10150,11100,11400,12300,12450
2021,7/15/2021,9700,10150,11100,11400,12300,12450
2021,7/16/2021,9700,10150,11100,11400,12300,12450
2021,7/19/2021,9700,10150,11100,11400,12300,12450
2021,7/21/2021,9700,10150,11100,11400,12300,12450
2021,7/22/2021,9700,10150,11100,11400,12300,12450
2021,7/23/2021,9700,10150,11100,11400,12300,12450
2021,7/26/2021,9700,10100,11100,11400,12300,12450
2021,7/27/2021,9700,10100,11100,11400,12300,12450
2021,7/28/2021,9700,10100,11100,11400,12300,12450
2021,7/29/2021,9700,10100,11100,11400,12300,12450
2021,7/30/2021,9700,10100,11100,11400,12300,12450
2021,8/2/2021,9750,10100,11050,11400,12250,12500
2021,8/3/2021,9750,10100,11050,11400,12250,12500
2021,8/4/2021,9750,10100,11050,11400,12250,12500
2021,8/5/2021,9750,10100,11050,11400,12250,12500
2021,8/6/2021,9750,10100,11050,11400,12250,12500
2021,8/9/2021,9750,10100,11050,11400,12250,12500
2021,8/10/2021,9750,10100,11050,11400,12250,12500
2021,8/12/2021,9750,10100,11050,11400,12300,12450
2021,8/13/2021,9750,10100,11050,11400,12300,12450
2021,8/16/2021,9750,10100,11050,11400,12300,12450
2021,8/18/2021,9750,10100,11050,11400,12300,12450
2021,8/19/2021,9800,10150,11100,11450,12300,12500
2021,8/20/2021,9800,10150,11100,11450,12300,12500
2021,8/23/2021,9800,10200,11150,11450,12300,12500
2021,8/24/2021,9800,10200,11150,11450,12300,12500
2021,8/25/2021,9800,10200,11150,11450,12300,12450
2021,8/26/2021,9800,10200,11150,11450,12300,12450
2021,8/27/2021,9800,10200,11150,11450,12300,12450
2021,8/30/2021,9800,10250,11150,11450,12350,12400
2021,8/31/2021,9750,10200,11150,11450,12300,12300
2021,9/1/2021,9750,10200,11150,11450,12300,12300
2021,9/2/2021,9750,10200,11150,11400,12250,12300
2021,9/3/2021,9750,10200,11150,11400,12250,12300
2021,9/6/2021,9750,10200,11150,11400,12250,12300
2021,9/7/2021,9750,10200,11150,11400,12250,12300
2021,9/8/2021,9800,10150,11150,11350,12150,12200
2021,9/9/2021,9800,10150,11150,11350,12150,12200
2021,9/10/2021,9800,10150,11150,11350,12150,12200
2021,9/13/2021,9800,10200,11150,11350,12150,12150
2021,9/14/2021,9800,10200,11150,11350,12150,12150
2021,9/15/2021,9800,10200,11150,11350,12150,12150
2021,9/16/2021,9800,10200,11150,11350,12150,12150
2021,9/17/2021,9800,10200,11150,11350,12150,12150
2021,9/20/2021,9800,10200,11150,11350,12150,12150
2021,9/21/2021,9800,10200,11150,11350,12150,12150
2021,9/22/2021,9800,10200,11150,11350,12150,12150
2021,9/23/2021,9800,10200,11150,11350,12150,12150
2021,9/24/2021,9800,10200,11150,11350,12150,12150
2021,9/27/2021,9800,10200,11150,11350,12150,12150
2021,9/28/2021,9750,10200,11150,11350,12100,12100
2021,9/29/2021,9750,10200,11150,11350,12100,12100
2021,9/30/2021,9750,10200,11150,11350,12100,12100
2021,10/1/2021,9750,10200,11150,11350,12100,12100
2021,10/4/2021,9750,10200,11150,11350,12100,12100
2021,10/5/2021,9750,10200,11150,11350,12100,12100
2021,10/6/2021,9750,10200,11150,11350,12100,12100
2021,10/7/2021,9750,10200,11150,11350,12100,12100
2021,10/8/2021,9750,10200,11150,11350,12100,12100
2021,10/11/2021,9750,10200,11150,11350,12100,12100
2021,10/12/2021,9750,10200,11150,11350,12100,12100
2021,10/13/2021,9750,10200,11150,11350,12100,12100
2021,10/14/2021,9750,10200,11150,11350,12100,12100
2021,10/15/2021,9750,10200,11150,11350,12100,12100
2021,10/18/2021,9750,10200,11150,11350,12100,12100
2021,10/19/2021,9750,10200,11150,11350,12100,12100
2021,10/21/2021,9750,10200,11150,11350,12100,12100
2021,10/22/2021,9750,10200,11150,11350,12100,12100
2021,10/25/2021,9700,10100,11100,11300,12100,12050
2021,10/26/2021,9700,10100,11100,11300,12100,12050
2021,10/27/2021,9700,10100,11100,11300,12100,12050
2021,10/28/2021,9700,10100,11100,11300,12100,12050
2021,10/29/2021,9650,10050,11050,11250,12050,12050
2021,11/1/2021,9650,10050,11050,11300,12050,12050
2021,11/2/2021,9650,10050,11050,11300,12050,12050
2021,11/3/2021,9650,10050,11050,11300,12050,12050
2021,11/4/2021,9650,10050,11050,11300,12050,12050
2021,11/5/2021,9650,10050,11050,11300,12050,12050
2021,11/8/2021,9650,10050,11050,11300,12050,12050
2021,11/9/2021,9650,10050,11050,11300,12050,12050
2021,11/10/2021,9700,10050,11050,11300,12050,12050
2021,11/11/2021,9700,10050,11050,11300,12050,12050
2021,11/12/2021,9700,10050,11050,11300,12050,12050
2021,11/15/2021,9700,10050,11050,11300,12050,12050
2021,11/16/2021,9700,10050,11050,11300,12050,12050
2021,11/17/2021,9700,10050,11050,11300,12050,12050
2021,11/18/2021,9700,10050,11050,11300,12050,12050
2021,11/19/2021,9700,10050,11050,11300,12050,12050
2021,11/22/2021,9700,10050,11050,11300,12050,12050
2021,11/23/2021,9700,10050,11050,11300,12050,12050
2021,11/24/2021,9700,10050,11050,11300,12050,12050
2021,11/25/2021,9700,10050,11050,11300,12050,12050
2021,11/26/2021,9700,10050,11050,11300,12050,12050
2021,11/29/2021,9700,10050,11050,11300,12050,12050
2021,11/30/2021,9700,10050,11050,11300,12050,12050
